,MID,exp_date,handoff_date,number_of_habs,SID,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,TotalWater,TotalWaterPercent,ï»¿Index,Date ,Compression ,Health ,OPT_SCORE_MAX,OPT_SCORE_AVG,OPT_SCORE_SUM,Notes ,Photos,Compression 0 = no compression 1 = some compression 2= significant compression,Health 0 = healthy 1 = minor damage 2 = significant damage,ï»¿ReqComments,ID,Title,HP Surgeon,Date of HP Surgery,PI,LabTracks Requestor,Procedure,Surgery Status,Project ID,IACUC Protocol,DateRangeStart,DateRangeEnd,Light Cycle,LIMs Required,Lims Project Code,LIMStaskflow,LabTracks Group,Pedigree Name,Cage,Sex,Date of Birth,HP Work Station,HP Weight before,HP Weight after,HP Iso Duration,HP Recovery,HP Iso Level,Headpost Type,HP Location,Bregma to Lambda,HP Perferations,HP M/L,HP A/P,HP Diameter,HP Durotomy,Previously Injected,1st Round Inj Surgeon,Date 1st Round Injections,1st Round Inj Workstation,1st Round Inj Weight Before,1st Round Inj Weight After,1st Round Inj Iso Duration,1st Round Inj Iso Level,1st Inj Recovery,2nd Round Inj Surgeon,Date 2nd Round Injections,2nd Round Workstation,2nd Round Inj Weight Before,2nd Round Inj Weight After,2nd Round Inj Iso Duration,2nd Round Inj Iso Level,2nd Inj REcovery,Inj1Round,Inj1VirusStrain,Inj1StorageLocation,Inj 1 Hemisphere,Inj 1 A/P,Inj 1 M/L,Inj 1 D/V,Inj1Type,Inj1Vol,Inj1LenghtofTime,Inj1Current,Inj1AlternatingTime,Inj2Round,Inj2VirusStrain,Inj2StorageLocation,Inj 2 Hemisphere,Inj 2 A/P,Inj 2 M/L,Inj 2 D/V,Inj2Type,Inj2Vol,Inj2LenghtofTime,Inj2Current,Inj2AlternatingTime,Durotomy,Edema (Swelling),Sinus Bleed,Window Clarity,Contusion,Hematoma,Laceration,During 1st Injection,After 1st Injection,1stRoundIontoIssue,During 2nd Injection,After 2nd Injection,2nd Round Ionto Issue,Touch Up Surgeon,Touch Up Status,Touch Up  Completed,Touch Up Weight After,Issue,Exudate Severity,Eye Affected,Eye Issue,Scabbing,CAM  Health Check Surgeon,CAM Go-NoGo Comments,CAM Go-NoGO ISI,CAM Health Check (7d post op),CAM Health Comments,Wellness Comments,inj1volperdepth,Inj1Volperpress,Inj1VirusStrain_rt,Inj2VirusStrain_rt,1stRoundInjComments,1stRoundInjectionComments,2ndRoundInjComments,2ndRoungInjectionComments,HP Surgeon Comments,HPSurgeonComments,Item Type,Path,exp_date_dt,exp_date_plt,Date of HP Surgery_dt,Date of Birth_dt,age_at_surgery_dt,age_at_exp,days_since_surgery
0,485124,20200624,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-24,18437.0,,,,,
1,496639,20200312,,0,,,,,,,,,,,,,,,,,,,,,,,"23 deg roll, 0 deg pitch",1842.0,496639HP+C Neuropixel style,Andy Cho,11/20/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,11/18/2019,11/22/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,Vip-IRES-Cre;Ai32-496639,02-004-110-1805,Female,9/18/2019,SWS 6,21.2,23.6,1.25,12.0,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.552,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/27/2019,,,,,,,,,,,,"â€‹No visible lac, but large hematoma formed at the perimeter of the 1-2 o clock border.Â 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-03-12,18333.0,2019-11-20,2019-09-18,63.0,176.0,113.0
2,498756,20200617,20200608.0,4,-999999.0,,,,24.9,20.3,0.85,0.86,0.715,1.42,0.0570281124497992,,,,,,,,,,,,"23 deg roll, 0 deg pitch",1796.0,498756HP+C Neuropixel style,Robert Howard,11/5/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,11/4/2019,11/8/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J (VB),C57BL/6J (VB)-498756,02-004-105-1805,Female,9/11/2019,SWS 7,19.2,22.2,2.0,10.0,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.447,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/12/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-06-17,18430.0,2019-11-05,2019-09-11,55.0,280.0,225.0
3,498757,20200604,,0,-999999.0,,,,27.8,23.0,0.85,0.63,0.51,1.04,0.037410071942446,,,,,,,,,,,,"23 deg roll, 0 deg pitch",1795.0,498757HP+C Neuropixel style,Jackie Swapp,11/7/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,11/4/2019,11/8/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J (VB),C57BL/6J (VB)-498757,02-004-106-1805,Female,9/11/2019,SWS 1,20.6,23.7,1.5,10.0,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.145,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/14/2019,,,,,,,,,,,,"â€‹Had a vessel bleed at 9 that continued to bleed in a hematoma, covering most of the left half",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-06-04,18417.0,2019-11-07,2019-09-11,57.0,267.0,210.0
4,498803,20200610,20200609.0,1,-999999.0,,,,23.03,19.1,0.85,0.48,0.61,1.0699999999999998,0.0464611376465479,,,,,,,,,,,,"â€‹23 deg roll, 0 deg pitch
",1868.0,498803HP+C Neuropixel style,Emily Gelfand,11/25/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,11/25/2019,11/29/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,Sst-IRES-Cre;Ai32-498803,02-004-111-1805,Female,10/3/2019,SWS 4,16.7,19.2,1.5,15.0,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.119,,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Severe,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,12/2/2019,,,,,,,,,,,,â€‹all new scissors + gel foam. Hail maryd because whole lower sinus and part of right sinus were in craniotomy.,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-06-10,18423.0,2019-11-25,2019-10-03,53.0,251.0,198.0
5,505167,20200721,20200716.0,3,-999999.0,,,,27.8,23.8,0.85,0.62,0.38,1.0,0.0359712230215827,,,,,,,,,,,,,2019.0,505167HP+C Neuropixel style,Josh Wilkes,1/13/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,1/13/2020,1/17/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J(NP),C57Bl6J(NP)-505167,02-004-125-1805,Male,11/12/2019,SWS 3,22.0,24.2,3.0,15.0,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.604,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Severe,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/20/2020,,,,,,,,,,,,"â€‹Surgery went well. possible damage with scissors 6 o'clock position

",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-07-21,18464.0,2020-01-13,2019-11-12,62.0,252.0,190.0
6,506798,20200715,20200619.0,7,-999999.0,,,,27.87,23.700000000000003,0.85,0.435,0.59,1.0,0.035880875493362,,,,,,,,,,,,,2021.0,506798HP+C Neuropixel style,Josh Wilkes,1/21/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,1/20/2020,1/24/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,Sst-IRES-Cre;Ai32-506798,02-004-128-1805,Male,11/24/2019,SWS 3,22.5,24.9,3.0,20.0,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.384,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,None,Central,None,None,Severe,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/28/2020,,,,,,,,,,,,"â€‹forceps lacerated the center of the cortex during pop. possible damage at the 6 and 1 o clock position that occured during pop
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-07-15,18458.0,2020-01-21,2019-11-24,58.0,234.0,176.0
7,506940,20200817,20200804.0,8,-999999.0,,,,27.73,23.9,0.85,0.8,0.32,1.0,0.0360620266858997,,17-Aug,2.0,2.0,2.0,2.0,4.0,,,OHHHHH MYYYYY!,,,2023.0,506940HP+C Neuropixel style,Chelsea Nayan,1/16/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,1/13/2020,1/17/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,Vip-IRES-Cre;Ai32-506940,02-004-129-1805,Male,11/25/2019,SWS 4,24.3,27.3,3.0,5.0,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.633,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/23/2020,,,,,,,,,,,,"Some dura around 3-6 and then 9 o'clock due to vessel attachments. Recovery took a little longer than expected.Â 

",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-08-17,18491.0,2020-01-16,2019-11-25,52.0,266.0,214.0
8,509652,20200630,20200618.0,6,-999999.0,,,,24.23,22.05,0.85,0.49,0.51,1.0,0.0412711514651258,,,,,,,,,,,,,2069.0,509652HP+C Neuropixel style,Emily Gelfand,1/27/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,1/27/2020,1/31/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),C57Bl6J (NP)-509652,02-004-132-1805,Female,12/13/2019,SWS 2,19.2,22.0,1.5,15.0,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.429,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Moderate,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/3/2020,,,,,,,,,,,,â€‹Went well.,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-06-30,18443.0,2020-01-27,2019-12-13,45.0,200.0,155.0
9,509808,20200902,20200824.0,7,,,,,,,,,,,,,2-Sep,1.0,0.0,1.0,0.5,1.0,,,,,,2117.0,509808HP+C Neuropixel style,Chelsea Nayan,2/6/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805.0,2/3/2020,2/7/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,Sst-IRES-Cre;Ai32-509808,02-004-139-1805,Male,12/14/2019,SWS 4,24.4,27.1,2.0,5.0,2,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.592,Select if applicable...,2.8/,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/13/2020,,,,,,,,,,,,"â€‹Dura from 3- 9 o'clock due to sinus and majoy vessels connected to the dura. Recovery was swift. Good surgery?Â 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present,2020-09-02,18507.0,2020-02-06,2019-12-14,54.0,263.0,209.0
