date_time,source,channel,level,location,user,MID,system,SID,operation,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,comment
6/1/2020 16:59,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),corbettb,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20,0.85,1.16,0.81,NaN
6/1/2020 20:09,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),corbettb,498803,NP-1-Stim,-999999,Action,NaN,NaN,NaN,23.03,19,0.85,0.58,0.59,NaN
6/1/2020 21:25,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),corbettb,498757,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,22.6,0.85,1.03,0.54,NaN
6/2/2020 19:01,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),greggh,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,19.3,0.85,0.28,0.72,NaN
6/2/2020 19:42,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),severined,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20,0.85,1.16,0.76,NaN
6/2/2020 21:36,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),severined,498757,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,23.2,0.85,0.47,0.53,NaN
6/3/2020 15:01,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,0,0.85,19.58,0.01,NaN
6/3/2020 16:20,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,19,0.85,0.58,0.5,NaN
6/3/2020 17:31,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:835),greggh,498757,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,23,0.85,0.63,0.51,NaN
6/3/2020 17:59,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498756,NP-0-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.4,0.85,0.77,0.59,NaN
6/4/2020 18:23,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498756,NP-0-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.4,0.85,0.77,0.59,NaN
6/4/2020 18:27,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,19.1,0.85,0.48,0.59,Got .59 during session; forgot to finalize so inputting weight/water log now.
6/4/2020 19:19,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,498757,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,23,0.85,0.63,0.41,NaN
6/5/2020 15:32,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,19.4,0.85,0.18,0.85,NaN
6/5/2020 16:58,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),taminar,498756,NP-0-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.8,0.85,0.36,0.7,NaN
6/5/2020 17:58,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,498757,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,22.9,0.85,0.99,0.01,NaN
6/8/2020 16:00,NP.0-Acq / w10dt05515,mouse_director,INFO,finalize_clicked (rig_view.py:741),greggh,498803,NP-0-Stim,-999999,Action,NaN,NaN,NaN,23.03,19.4,0.85,0.31,0.69,NaN
6/9/2020 17:33,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,498756,NP-0-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.1,0.85,1.06,0,NaN
