,mid,seizure,d2,genotype,sharpened,rig,session
2020-07-01,509652,0,0,C57Bl6J,True,unknown,\\10.128.50.43\sd6.3\1033611657_509652_20200701
2020-07-01,509940,0,0,Vip-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1033616558_509940_20200701
2020-07-08,512913,0,0,Sst-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1034912109_512913_20200708
2020-07-15,506798,0,0,Sst-IRES-Cre;Ai32,True,NP0,\\10.128.50.43\sd6.3\1036476611_506798_20200715
2020-07-16,506798,0,1,Sst-IRES-Cre;Ai32,True,NP0,\\10.128.50.43\sd6.3\1036675699_506798_20200716
2020-07-21,505167,0,0,C57Bl6J,True,NP0,\\10.128.50.43\sd6.3\1037747248_505167_20200721
2020-07-22,513573,0,0,C57Bl6J,True,NP0,\\10.128.50.43\sd6.3\1037927382_513573_20200722
2020-07-23,513573,0,1,C57Bl6J,True,NP0,\\10.128.50.43\sd6.3\1038127711_513573_20200723
2020-07-29,524921,0,0,Sst-IRES-Cre;Ai32,True,NP0,\\10.128.50.43\sd6.3\1039257177_524921_20200729
2020-07-29,513271,0,0,Vip-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1039267612_513271_20200729
2020-07-30,524921,1,1,Sst-IRES-Cre;Ai32,True,NP0,\\10.128.50.43\sd6.3\1039557143_524921_20200730
2020-07-30,513271,0,1,Vip-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1039559455_513271_20200730
2020-08-05,522944,1,0,C57BL6J,True,NP1,\\10.128.50.43\sd6.3\1041083421_522944_20200805
2020-08-06,522944,0,1,C57BL6J,True,NP1,\\10.128.50.43\sd6.3\1041287144_522944_20200806
2020-08-17,506940,0,0,Vip-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1043752325_506940_20200817
2020-08-18,506940,0,1,Vip-IRES-Cre;Ai32,True,NP1,\\10.128.50.43\sd6.3\1044016459_506940_20200818
2020-08-18,509811,0,0,C57BL/6J,True,NP0,\\10.128.50.43\sd6.3\1044026583_509811_20200818
2020-08-19,524761,0,0,C57BL6J,True,NP1,\\10.128.50.43\sd6.3\1044385384_524761_20200819
