,Description,N_insertions,None,Miniscule,Mild,Moderate,Severe
0,probe A sharpened,29,0.5862068965517241,0.10344827586206896,0.13793103448275862,0.034482758620689655,0.13793103448275862
1,probe A unsharpened,22,0.4090909090909091,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.13636363636363635
2,probe B sharpened,29,0.5862068965517241,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896
3,probe B unsharpened,22,0.6363636363636364,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.13636363636363635
4,probe C sharpened,25,0.64,0.12,0.12,0.04,0.08
5,probe C unsharpened,26,0.6923076923076923,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.15384615384615385
6,probe D sharpened,29,0.5517241379310345,0.1724137931034483,0.10344827586206896,0.06896551724137931,0.10344827586206896
7,probe D unsharpened,22,0.4090909090909091,0.09090909090909091,0.22727272727272727,0.09090909090909091,0.18181818181818182
8,probe E sharpened,25,0.56,0.16,0.12,0.08,0.08
9,probe E unsharpened,26,0.34615384615384615,0.3076923076923077,0.038461538461538464,0.15384615384615385,0.15384615384615385
10,probe F sharpened,25,0.8,0.08,0.08,0.0,0.04
11,probe F unsharpened,25,0.72,0.16,0.12,0.0,0.0
12,All Probes Sharpened,162,0.6172839506172839,0.12345679012345678,0.1111111111111111,0.05555555555555555,0.09259259259259259
13,All Probes Unsharpened,143,0.5384615384615384,0.1258741258741259,0.1258741258741259,0.08391608391608392,0.1258741258741259
