,Description,None,Miniscule,Mild,Moderate,Severe
0,probe A sharpened,16,5,4,1,3
1,probe A unsharpened,9,6,4,2,1
2,probe B sharpened,16,6,3,2,2
3,probe B unsharpened,14,3,2,2,1
4,probe C sharpened,15,5,2,2,1
5,probe C unsharpened,18,3,0,2,3
6,probe D sharpened,14,9,1,3,2
7,probe D unsharpened,9,5,3,2,3
8,probe E sharpened,13,7,2,1,2
9,probe E unsharpened,9,10,0,4,3
10,probe F sharpened,19,3,2,0,1
11,probe F unsharpened,18,7,0,0,0
12,All Sharpened Probes,93,35,14,9,11
13,All Unsharpened Probes,77,34,9,12,11
