T_session_IDs,G_session_IDS,,Combined,,probeA,probeB,probeC,probeD,probeE,probeF
993265501_489139_20191209,1001820677_476815_20200122,54,993265501_489139_20191209,1.00,0,0,0,0,0,0
990372920_488835_20191125,1003659361_485051_20200129,53,990372920_488835_20191125,1.00,0,0,0,0,0,0
990296676_477810_20191125,1005249204_495800_20200205,52,990296676_477810_20191125,1.00,0,0,0,0,0,0
987924404_487461_20191120,1008639574_491252_20200219,51,987924404_487461_20191120,1.00,0,0,0,0,0,0
986114138_473248_20191118,1010441096_492651_20200226,50,986114138_473248_20191118,1.00,0,0,0,0,0,0
981876216_487460_20191113,1010459763_489138_20200226,49,981876216_487460_20191113,1.00,0,0,0,0,0,0
977598747_477120_20191106,1012367144_495662_20200304,48,977598747_477120_20191106,1.00,0,0,0,0,0,0
1077897245_545996_20210121,1028043324_498757_20200604,47,1077897245_545996_20210121,1.00,1,1,1,1,1,1
1077891954_548715_20210121,1029247206_498803_20200610,46,1077891954_548715_20210121,1.00,1,1,1,1,1,1
1077712208_548715_20210120,1030489628_498756_20200617,45,1077712208_548715_20210120,1.00,1,1,1,1,1,1
1077711823_545996_20210120,1031938107_485124_20200624,43,1077711823_545996_20210120,1.00,1,1,1,1,1,1
1076265417_546503_20210113,1033387557_509940_20200630,42,1076265417_546503_20210113,1.00,1,1,1,1,1,1
1072345110_540536_20201222,1033388795_509652_20200630,40,1072345110_540536_20201222,1.00,1,1,1,1,1,1
1072341440_546507_20201222,1037747248_505167_20200721,36,1072341440_546507_20201222,1.00,1,1,1,1,1,1
1070969560_548465_20201216,1039257177_524921_20200729,33,1070969560_548465_20201216,1.00,1,1,1,1,1,1
1070961372_544835_20201216,1039267612_513271_20200729,32,1070961372_544835_20201216,1.00,1,1,1,1,1,1
1069193611_545994_20201209,1041083421_522944_20200805,31,1069193611_545994_20201209,1.00,1,1,1,1,1,1
1069192277_544837_20201209,1043752325_506940_20200817,30,1069192277_544837_20201209,1.00,1,1,1,1,1,1
1067593545_546512_20201202,1044385384_524761_20200819,29,1067593545_546512_20201202,1.00,1,1,1,1,1,1
1067588044_544836_20201202,1044389060_510589_20200819,28,1067588044_544836_20201202,1.00,1,1,1,1,1,1
1052342277_530862_20200923,1046166369_527294_20200826,27,1052342277_530862_20200923,1.00,1,1,1,1,1,1
1052331749_524926_20200923,1047969464_509808_20200902,26,1052331749_524926_20200923,1.00,1,1,1,1,1,1
1050962145_524760_20200916,1047977240_524925_20200902,25,1050962145_524760_20200916,1.00,1,1,1,1,1,1
1047977240_524925_20200902,1067588044_544836_20201202,21,1047977240_524925_20200902,1.00,1,1,1,1,1,1
1047969464_509808_20200902,1067593545_546512_20201202,20,1047969464_509808_20200902,1.00,0,0,0,0,0,0
1046166369_527294_20200826,1069192277_544837_20201209,19,1046166369_527294_20200826,1.00,1,1,1,1,1,1
