MID,Date,probeA,probeB,probeC,probeD,probeE,probeF,Sharpened or Unsharpened,Directory,Notes,Bleeding = 0-4? Or 0-2?
1001820677_476815_20200122,,3,0,1,0,1,1,0,\\10.128.50.43\sd6.2\1001820677_476815_20200122,bad surg,"None, Miniscule, Mild, Moderate, Severe"
1003659361_485051_20200129,,3,2,0,3,3,0,0,\\10.128.50.43\sd6.2\1003659361_485051_20200129,,Sharpened = 1
1005249204_495800_20200205,,2,5,2,5,5,2,0,\\10.128.50.43\sd6.2\1005249204_495800_20200205,Hard to say where all the bleedg is coming from but its BAD,Unsharpened = 0
1008639574_491252_20200219,,0,2,0,4,4,0,0,\\10.128.50.43\sd6.2\1008639574_491252_20200219,,
1010441096_492651_20200226,,2,0,5,0,0,0,0,\\10.128.50.43\sd6.2\1010441096_492651_20200226,,
1010459763_489138_20200226,,1,3,2,3,2,0,0,\\10.128.50.43\sd6.2\1010459763_489138_20200226,,
1012367144_495662_20200304,,4,4,4,4,4,2,0,\\10.128.50.43\sd6.2\1012367144_495662_20200304,,
1028043324_498757_20200604,,1,0,0,2,0,2,0,\\10.128.50.43\sd6.3\1028043324_498757_20200604,,
1029247206_498803_20200610,,2,0,4,0,0,0,0,\\10.128.50.43\sd6.3\1029247206_498803_20200610,,
1030489628_498756_20200617,,3,4,0,2,3,0,0,\\10.128.50.43\sd6.3\1030489628_498756_20200617,Bad surgery,
1031938107_485124_20200624,,0,0,,0,,,1,\\10.128.50.43\sd6.3\1031938107_485124_20200624,Day 1,
1031938107_485124_20200624,,,,0,,0,1,0,\\10.128.50.43\sd6.3\1031938107_485124_20200624,"Day1, very slight bleeding on F",
1033387557_509940_20200630,,,,,,,,0,,,
1033388795_509652_20200630,,0,0,,0,,,1,\\10.128.50.43\sd6.3\1033388795_509652_20200630,Day 1,
1033388795_509652_20200630,,,,0,,1,0,0,\\10.128.50.43\sd6.3\1033388795_509652_20200630,Day 1,
1036476611_506798_20200715,,x,x,,x,,,1,\\10.128.50.43\sd6.3\1036476611_506798_20200715,"NP0 3 sharpened, very ugly surgery. Can't tell what's been inserted imma skip",
1036476611_506798_20200715,,,,x,,x,x,0,\\10.128.50.43\sd6.3\1036476611_506798_20200715,NP0 3 sharpened,
1037747248_505167_20200721,,1,0,,0,,,1,\\10.128.50.43\sd6.3\1037747248_505167_20200721,Sharpened ABD,
1037747248_505167_20200721,,,,0,,0,0,0,\\10.128.50.43\sd6.3\1037747248_505167_20200721,"Seems like we were kinda close to vessels for this one with no bleeding. NP0, sharpened on ABD",
1037927382_513573_20200722,,0,0,,1,,,1,\\10.128.50.43\sd6.3\1037927382_513573_20200722,"NP0, 3 sharpened, weird cause there was no bleeding on the first image but there was bleeding during the session. ",
1037927382_513573_20200722,,,,1,,1,1,0,\\10.128.50.43\sd6.3\1037927382_513573_20200722,"NP0, 3 sharpened",
1039257177_524921_20200729,,0,0,1,0,0,0,1,,"NP0, first with all 6 sharpened. Seems like we were kinda close to vessels for this one with no bleeding",
1039267612_513271_20200729,,2,0,0,1,3,0,0,,,
1041083421_522944_20200805,,2,0,0,2,2,0,0,,NP1,
1043752325_506940_20200817,,,,,,,,,,The surgery for this one was pretty splotchy (bloody) so a little hard to say where the insertion caused bleeding. ,
1044385384_524761_20200819,,0,0,0,1,0,0,0,,NP1,
1044389060_510589_20200819,,5,5,0,0,0,0,1,,NP0,
1046166369_527294_20200826,,0,0,0,4,4,0,1,,NP0,
1047969464_509808_20200902,,0,3,0,0,1,0,0,,NP1,
1047977240_524925_20200902,,2,1,0,0,0,0,1,\\10.128.50.43\sd6.3\1047977240_524925_20200902,NP0,
1050962145_524760_20200916,,2,1,2,1,0,2,1,\\10.128.50.20\sd7\1050962145_524760_20200916,"NP1 first experiment with sharpened probes, initial surgery blotchy",
1052331749_524926_20200923,,2,3,3,0,3,0,1,,NP0 not a great initial surgery. ,
1052342277_530862_20200923,,0,0,0,0,0,4,1,\\10.128.50.20\sd7\1052342277_530862_20200923,"NP1, maybe a 2B after experiment but not sure if that was insertion or removal. ",
1067588044_544836_20201202,,0,0,1,1,0,1,1,,,
1067593545_546512_20201202,,4,2,0,2,1,0,1,,,
1069192277_544837_20201209,,1,0,0,3,1,1,1,,,
1069193611_545994_20201209,,0,0,2,0,0,0,1,,,
1070961372_544835_20201216,,0,1,1,1,0,0,1,,,
1070969560_548465_20201216,,0,0,0,3,2,0,1,,,
1072341440_546507_20201222,,1,0,0,2,2,1,1,,,
1072345110_540536_20201222,,0,1,4,0,2,0,1,,,
1076265417_546503_20210113,,2,2,0,3,0,0,1,,,
1077711823_545996_20210120,,0,3,0,0,1,0,1,,,
1077712208_548715_20210120,,1,0,4,0,1,0,1,,,
1077891954_548715_20210121,,,,,,,,1,,,
1077897245_545996_20210121,,3,3,0,0,0,0,1,,,
977598747_477120_20191106,,,,,,,,0,,,
981876216_487460_20191113,,,,,,,,0,,,
986114138_473248_20191118,,,,,,,,0,,,
987924404_487461_20191120,,,,,,,,0,,,
990296676_477810_20191125,,,,,,,,0,,,
990372920_488835_20191125,,,,,,,,0,,,
993265501_489139_20191209,,,,,,,,0,,,
,,,,,,,,,,,
