ReqComments,ID,Title,HP Surgeon,Date of HP Surgery,PI,LabTracks Requestor,Procedure,Surgery Status,Project ID,IACUC Protocol,DateRangeStart,DateRangeEnd,Light Cycle,LIMs Required,Lims Project Code,LIMStaskflow,LabTracks Group,MID,Pedigree Name,Cage,Sex,Date of Birth,HP Work Station,HP Weight before,HP Weight after,HP Iso Duration,HP Recovery,HP Iso Level,Headpost Type,HP Location,Bregma to Lambda,HP Perferations,HP M/L,HP A/P,HP Diameter,HP Durotomy,Previously Injected,1st Round Inj Surgeon,Date 1st Round Injections,1st Round Inj Workstation,1st Round Inj Weight Before,1st Round Inj Weight After,1st Round Inj Iso Duration,1st Round Inj Iso Level,1st Inj Recovery,2nd Round Inj Surgeon,Date 2nd Round Injections,2nd Round Workstation,2nd Round Inj Weight Before,2nd Round Inj Weight After,2nd Round Inj Iso Duration,2nd Round Inj Iso Level,2nd Inj REcovery,Inj1Round,Inj1VirusStrain,Inj1StorageLocation,Inj 1 Hemisphere,Inj 1 A/P,Inj 1 M/L,Inj 1 D/V,Inj1Type,Inj1Vol,Inj1LenghtofTime,Inj1Current,Inj1AlternatingTime,Inj2Round,Inj2VirusStrain,Inj2StorageLocation,Inj 2 Hemisphere,Inj 2 A/P,Inj 2 M/L,Inj 2 D/V,Inj2Type,Inj2Vol,Inj2LenghtofTime,Inj2Current,Inj2AlternatingTime,Durotomy,Edema (Swelling),Sinus Bleed,Window Clarity,Contusion,Hematoma,Laceration,During 1st Injection,After 1st Injection,1stRoundIontoIssue,During 2nd Injection,After 2nd Injection,2nd Round Ionto Issue,Touch Up Surgeon,Touch Up Status,Touch Up  Completed,Touch Up Weight After,Issue,Exudate Severity,Eye Affected,Eye Issue,Scabbing,CAM  Health Check Surgeon,CAM Go-NoGo Comments,CAM Go-NoGO ISI,CAM Health Check (7d post op),CAM Health Comments,Wellness Comments,inj1volperdepth,Inj1Volperpress,Inj1VirusStrain_rt,Inj2VirusStrain_rt,1stRoundInjComments,1stRoundInjectionComments,2ndRoundInjComments,2ndRoungInjectionComments,HP Surgeon Comments,HPSurgeonComments,Item Type,Path
,217,421530HP+C Neuropixel style,Andy Cho,1/17/2019,Corbett Bennett,Corbett Bennett,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,1/14/2019,1/18/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,Pvalb-IRES-Cre;Ai32,421530,Pvalb-IRES-Cre;Ai32,02-004-45-1805,Female,9/3/2018,SWS 6,20.4,23.4,1.5,18,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.607,Select if applicable...,2.8,1.3,5mm,Yes,No,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/24/2019,,,,,,,,,,,,"​Minor laceration at 11 o clock position from popping otherwise sx went well.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
Standard neuropixel HP+C with metabond bridges,715,453540HP+C Neuropixel style,Kyla Mace,3/26/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/25/2019,4/5/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32,453540,Pvalb-IRES-Cre;Ai32-453540,02-004-52-1805,Male,2/7/2019,SWS 2,23.4,26.2,1.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.688,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/2/2019,,,,,,,,,,,,"​Sx went well, animal recovered quickly.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
Standard neuropixel HP+C with metabond bridges,716,453545HP+C Neuropixel style,Chelsea Nayan,3/28/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/25/2019,4/5/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32,453545,Pvalb-IRES-Cre;Ai32-453545,02-004-53-1805,Female,2/7/2019,SWS 4,18.2,21,2,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,3.774,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Anterior,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/4/2019,,,,,,,,,,,,"​Was a good surgery. More anterior placement than expected. Maybe a little bit more medial than expected too. Not much bleeding. recovery was super quick. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
Standard neuropixel HP+C with metabond bridges,717,452100HP+C Neuropixel style,Kat North,3/28/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/25/2019,4/5/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,452100,Vip-IRES-Cre;Ai32-452100,02-004-54-1805,Female,1/31/2019,SWS 1,17.7,20.4,2.5,10,1.75,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.431,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/4/2019,,,,,,,,,,,,"​Surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
Standard neuropixel HP+C with metabond bridges,718,452102HP+C Neuropixel style,Nicole Hancock,3/25/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/25/2019,4/5/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,452102,Vip-IRES-Cre;Ai32-452102,02-004-51-1805,Female,1/31/2019,SWS 5,16.4,19.1,1.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,3.555,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/1/2019,,,,,,,,,,,,"​Surgery went well. No significant complications.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",850,459160HP+C Neuropixel style,Kat North,4/17/2019,Peter Groblewski,Ali,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,4/15/2019,4/19/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,459160,Vip-IRES-Cre;Ai32-459160,02-004-56-1805,Male,3/6/2019,SWS 1,22.6,25.2,2,15,1.75,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.102,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/24/2019,,,,,,,,,,,,"​Surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",851,459528HP+C Neuropixel style,Chelsea Nayan,4/16/2019,Peter Groblewski,Ali,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,4/15/2019,4/19/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,459528,Vip-IRES-Cre;Ai32-459528,02-004-55-1805,Female,3/7/2019,SWS 4,17.8,20.5,2,7,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.581,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/23/2019,,,,,,,,,,,,"​At 2 o'clock there is a clot with some dura and white debris (possibly metabond). From 4-7 o'clock there is dura covering the sinus. Overall the surgery seemed to have done well. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",873,459521HP+C Neuropixel style,Sophie Lambert,4/22/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,4/22/2019,4/26/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,459521,Vip-IRES-Cre;Ai32-459521,02-004-57-1805,Male,3/7/2019,SWS 5,22.3,25,2,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.382,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,None,Select...,None,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/29/2019,,,,,,,,,,,,"​Drained vein, not a laceration but just startedbleeding from swelling

created tiny laceration when trying to pick off a spec from the window

lower right corner hematoma developed while depressing coverslip, compression bleeding maybe
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",874,461027HP+C Neuropixel style,Kat North,4/23/2019,Peter Groblewski,Ali Williford,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,4/22/2019,4/26/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Vip-IRES-Cre;Ai32,461027,Vip-IRES-Cre;Ai32-461027,02-004-58-1805,Male,3/8/2019,SWS 1,24.2,27,2,15,1.75,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.363,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,4/30/2019,,,,,,,,,,,,"​Surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​23 deg roll, 0 deg pitch
",997,464614HP+C Neuropixel style,Jackie Swapp,5/16/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,5/13/2019,5/17/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Sst-IRES-Cre;Ai32,464614,Sst-IRES-Cre;Ai32-464614,02-004-115-1706,Female,4/1/2019,SWS 1,16.4,19.4,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.459,NA,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,5/23/2019,,,,,,,,,,,,"​Surprisingly awesome, so it will probably be cursed",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
